dwzw	2015/7/23	http://www.caas.cn/zt/jxsyss_dzylzf/jcdt_syss/258839.shtml	革命党课教育干部 沂蒙精神永驻心间			信息所		1
dwzw	2015/9/6	http://www.caas.cn/ysxw/dwzw/259860.shtml	烟草所慰问抗战时期参加革命工作的离休老干部	./data/dwzw/259860.shtml		烟草所	2015/9/6	1
dwzw	2015/9/6	http://www.caas.cn/ysxw/dwzw/259859.shtml	农经所慰问抗战时期参加革命工作的离休老干部	./data/dwzw/259859.shtml		农经所	2015/9/6	1
dwzw	2015/9/29	http://www.caas.cn/zt/jxsyss_dzylzf/jcdt_syss/261041.shtml	加工所举行2015年理论中心组第三次（扩大）学习活动			加工所		1
zjgd	2015/10/8	http://www.caas.cn/ysxw/zjgd/261216.shtml	唐华俊:我国农产品质量安全风险评估学科建设推进方略	./data/zjgd/261216.shtml	《农产品质量与安全》杂志	资划所	2015/10/8	1
gjhz	2015/7/1	http://www.caas.cn/ysxw/gjhz/258029.shtml	加工所举办食品营养组学分析技术国际研讨会	./data/gjhz/258029.shtml	中国农业科学院农产品加工研究所	加工所	2015/7/1	0
gjhz	2015/7/1	http://www.caas.cn/ysxw/gjhz/258004.shtml	中国农科院国家公派出国留学基金资助获批再创新高	./data/gjhz/258004.shtml	中国农业科学院国际合作局	国合局	2015/7/1	0
gnhz1	2015/7/1	http://www.caas.cn/ysxw/gnhz1/258031.shtml	信息所大力开展塔里木大学图书馆对口支援工作	./data/gnhz1/258031.shtml	中国农业科学院农业信息研究所	信息所	2015/7/1	0
gnhz1	2015/7/1	http://www.caas.cn/ysxw/gnhz1/257968.shtml	加工所主食加工技术研究院（哈尔滨）成立	./data/gnhz1/257968.shtml	中国农业科学院农产品加工研究所	加工所	2015/7/1	0
gnhz1	2015/7/1	http://www.caas.cn/ysxw/gnhz1/257959.shtml	临沂市农科院院长来加工所洽谈合作	./data/gnhz1/257959.shtml	中国农业科学院农产品加工研究所	加工所	2015/7/1	0
zjgd	2015/7/1	http://www.caas.cn/ysxw/zjgd/257958.shtml	周振亚：乡镇农技推广机构面临四大挑战	./data/zjgd/257958.shtml	中国农业科学院农业资源与农业区划研究所	资划所	2015/7/1	0
yw	2015/7/1	http://www.caas.cn/ysxw/gjhz/258004.shtml	中国农科院国家公派出国留学基金资助获批再创新高	./data/gjhz/258004.shtml	中国农业科学院国际合作局	国合局	2015/7/1	0
yw	2015/7/1	http://www.caas.cn/ysxw/gnhz1/257968.shtml	加工所主食加工技术研究院（哈尔滨）成立	./data/gnhz1/257968.shtml	中国农业科学院农产品加工研究所	加工所	2015/7/1	0
gjhz	2015/7/2	http://www.caas.cn/ysxw/gjhz/258091.shtml	质标所与美国农业部农业研究局东部研究中心签署农产品及食品安全科研合作协议	./data/gjhz/258091.shtml	中国农业科学院农业质量标准与检测技术研究所	质标所	2015/7/2	0
dwzw	2015/7/2	http://www.caas.cn/ysxw/dwzw/258066.shtml	院老干部艺术团舞蹈队获北京健身操比赛二等奖	./data/dwzw/258066.shtml	中国农业科学院人事局	人事局	2015/7/2	0
dwzw	2015/7/2	http://www.caas.cn/ysxw/dwzw/258057.shtml	弘扬“祁阳站精神”  打造“三严三实”的农业科研国家队	./data/dwzw/258057.shtml	中国农业科学院直属机关党委	机关党委	2015/7/2	0
kyjz	2015/7/2	http://www.caas.cn/ysxw/kyjz/258073.shtml	《中国农作物病虫害》第三版面世	./data/kyjz/258073.shtml	中国农业科学院植物保护研究所	植保所	2015/7/2	0
kyjz	2015/7/2	http://www.caas.cn/ysxw/kyjz/258068.shtml	农业部奶及奶制品质量监督检验测试中心（北京）通过“2+2”复评审和扩项评审	./data/kyjz/258068.shtml	中国农业科学院北京畜牧兽医研究所	牧医所	2015/7/2	0
xzhd	2015/7/2	http://www.caas.cn/ysxw/xzhd/258067.shtml	牧医所召开“奶牛提质增效技术集成生产模式研究”项目研讨会	./data/xzhd/258067.shtml	中国农业科学院北京畜牧兽医研究所	牧医所	2015/7/2	0
yw	2015/7/2	http://www.caas.cn/ysxw/dwzw/258057.shtml	弘扬“祁阳站精神”  打造“三严三实”的农业科研国家队	./data/dwzw/258057.shtml	中国农业科学院直属机关党委	机关党委	2015/7/2	0
gjhz	2015/7/3	http://www.caas.cn/ysxw/gjhz/258158.shtml	加工所与国际知名实验室合作助推创新工程实施	./data/gjhz/258158.shtml	中国农业科学院农产品加工研究所	加工所	2015/7/3	0
gnhz1	2015/7/3	http://www.caas.cn/ysxw/gnhz1/258130.shtml	加工所与荆门市屈家岭管理区签订共建中国农谷农产品加工集聚区合作协议	./data/gnhz1/258130.shtml	中国农业科学院农产品加工研究所	加工所	2015/7/3	0
dwzw	2015/7/3	http://www.caas.cn/ysxw/dwzw/258126.shtml	烟草所离退休老同志心系创新发展	./data/dwzw/258126.shtml	中国农业科学院烟草研究所	烟草所	2015/7/3	0
dwzw	2015/7/3	http://www.caas.cn/ysxw/dwzw/258110.shtml	“走进科研一线·讲述精彩故事”专栏上线	./data/dwzw/258110.shtml	中国农业科学院办公室	院办	2015/7/3	0
kyjz	2015/7/3	http://www.caas.cn/ysxw/kyjz/258162.shtml	信息所获批“北京市农业监测预警工程技术研究中心”	./data/kyjz/258162.shtml	中国农业科学院农业信息研究所	信息所	2015/7/3	0
kyjz	2015/7/3	http://www.caas.cn/ysxw/kyjz/258133.shtml	牧医所揭示胚胎冷冻后妊娠率降低机制	./data/kyjz/258133.shtml	中国农业科学院北京畜牧兽医研究所	牧医所	2015/7/3	0
kyjz	2015/7/3	http://www.caas.cn/ysxw/kyjz/258128.shtml	真菌-植物互作共生分子机理解析取得重要进展	./data/kyjz/258128.shtml	中国水稻研究所	水稻所	2015/7/3	0
xzhd	2015/7/3	http://www.caas.cn/ysxw/xzhd/258137.shtml	云南维西傈僳族自治县首届蜜蜂文化节开幕	./data/xzhd/258137.shtml	中国农业科学院蜜蜂研究所	蜜蜂所	2015/7/3	0
